Stock,Subject,Announcement,Attachment,Time
MRF,General Updates,"MRF Limited has informed the Exchange about Information under Regulation 30 of SEBI [Listing Obligations and DisclosureRequirements] Regulations, 2015",https://nsearchives.nseindia.com/corporate/MRF_08052025165726_Informationunderregulation.pdf,08-May-2025 17:01:47
MRF,Outcome of Board Meeting-XBRL,MRF LIMITED has informed the Exchange regarding Outcome of Board Meeting held on 07-May-2025 for Dividend,https://nsearchives.nseindia.com/corporate/xbrl/OUTCOME_1433672_08052025111514_WEB.xml,08-May-2025 11:15:14
MRF,General Updates,MRF Limited has informed the Exchange about  Related party transactions for the half year ended 31.03.2025,https://nsearchives.nseindia.com/corporate/MRF_07052025205016_Related.pdf,07-May-2025 20:50:34
MRF,Press Release,Press Release,https://nsearchives.nseindia.com/corporate/MRF_07052025155114_PressRelease.pdf,07-May-2025 15:54:11
MRF,Appointment,"MRF Limited has informed the Exchange regarding Appointment of Mr Elangovan  as Other of the company w.e.f. April 01, 2025.",https://nsearchives.nseindia.com/corporate/MRF_07052025130503_RESULTFINAL.pdf,07-May-2025 13:07:35
MRF,Dividend,"MRF Limited has informed the Exchange that Board of Directors at its meeting held on May 07, 2025, recommended Final Dividend of Rs. 229 per equity share.",https://nsearchives.nseindia.com/corporate/MRF_07052025125813_RESULTFINAL.pdf,07-May-2025 13:01:34
MRF,Outcome of Board Meeting,"MRF Limited has informed the Exchange regarding Outcome of Board Meeting held on May 07, 2025.",https://nsearchives.nseindia.com/corporate/MRF_07052025124313_RESULTFINAL.pdf,07-May-2025 12:49:56
MRF,Board Meeting Intimation,MRF LIMITED has informed the Exchange about Board Meeting to be held on 07-May-2025 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2025 and Dividend.,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_51894_1429362_30042025055109_WEB.xml,30-Apr-2025 17:51:09
MRF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","MRF Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/MRF_11042025110410_Regulation74.pdf,11-Apr-2025 11:04:27
MRF,Trading Window-XBRL,MRF LIMITED has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1403625_27032025044844_WEB.xml,27-Mar-2025 16:48:45
MRF,Trading Window,"MRF Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/MRF_27032025164337_TradingwindowClosure.pdf,27-Mar-2025 16:45:08
