Source,Deal Date,Security Name,Client Name,Deal Type,Quantity,Trade Price
NSE,02/06/2025,AUBANK,LEAPFROG RURAL INCLUSION (INDIA) LIMITED,SELL,901261,693
NSE,02/06/2025,AUBANK,TATA AIG GENERAL INSURANCE CO LTD,BUY,901261,693
NSE,06/06/2025,BAJAJFINSV,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,1298684,1925.2
NSE,06/06/2025,BAJAJFINSV,ASK ABSOLUTE RETURN FUND,BUY,111394,1925.2
NSE,06/06/2025,BAJAJFINSV,BAJAJ HOLDINGS AND INVESTMENT LIMITED,SELL,10400000,1925.2
NSE,06/06/2025,BAJAJFINSV,BARCLAYS MERCHANT BANK (SINGAPORE) LIMITED,BUY,53468,1925.2
NSE,06/06/2025,BAJAJFINSV,BOFA SECURITIES EUROPE SA,BUY,311903,1925.2
NSE,06/06/2025,BAJAJFINSV,BOFA SECURITIES EUROPE SA - ODI,BUY,1309986,1925.2
NSE,06/06/2025,BAJAJFINSV,CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,BUY,289624,1925.2
NSE,06/06/2025,BAJAJFINSV,COPTHALL MAURITIUS INVESTMENT LIMITED,BUY,66837,1925.2
NSE,06/06/2025,BAJAJFINSV,DFC EMERGING MARKETS EQUITY FUND,BUY,420,1925.2
NSE,06/06/2025,BAJAJFINSV,DSP MUTUAL FUND,BUY,54592,1925.2
NSE,06/06/2025,BAJAJFINSV,EASTSPRING INVESTMENTS INDIA CONSUMER EQUITY OPEN LIMITED,BUY,235000,1925.2
NSE,06/06/2025,BAJAJFINSV,EASTSPRING INVESTMENTS INDIA EQUITY FUND,BUY,210000,1925.2
NSE,06/06/2025,BAJAJFINSV,EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,BUY,195988,1925.2
NSE,06/06/2025,BAJAJFINSV,EDELWEISS MUTUAL FUND,BUY,519481,1925.2
NSE,06/06/2025,BAJAJFINSV,GOLDMAN SACHS (SINGAPORE) PTE,BUY,222788,1925.2
NSE,06/06/2025,BAJAJFINSV,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED  SHORT TERM,BUY,222788,1925.2
NSE,06/06/2025,BAJAJFINSV,HDFC MUTUAL FUND,BUY,1165845,1925.2
NSE,06/06/2025,BAJAJFINSV,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,467533,1925.2
NSE,06/06/2025,BAJAJFINSV,ICICI PRUDENTIAL MUTUAL FUND,BUY,7792208,1925.2
NSE,06/06/2025,BAJAJFINSV,INDIA ACORN ICAV - ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND,BUY,135065,1925.2
NSE,06/06/2025,BAJAJFINSV,INSTITUTIONAL VANDHA A/C,BUY,123139,1925.2
NSE,06/06/2025,BAJAJFINSV,JAMNALAL SONS PRIVATE LIMITED,SELL,18200000,1925.2
NSE,06/06/2025,BAJAJFINSV,JAPAN TRUSTEES SERVICE BANK LTD A/C JF INDIA EQUITY OPEN MOTHER FUND,BUY,69409,1925.2
NSE,06/06/2025,BAJAJFINSV,JP MORGAN FUNDS,BUY,186577,1925.2
NSE,06/06/2025,BAJAJFINSV,JPMORGAN INDIA FUND,BUY,283430,1925.2
NSE,06/06/2025,BAJAJFINSV,JPMORGAN INDIAN INVESTMENT TRUST PLC,BUY,465408,1925.2
NSE,06/06/2025,BAJAJFINSV,LANSFORSAKRINGAR TILLVAXTMARKNAD AKTIV,BUY,4811,1925.2
NSE,06/06/2025,BAJAJFINSV,LEADING LIGHT FUND VCC - THE TRIUMPH FUND,BUY,75748,1925.2
NSE,06/06/2025,BAJAJFINSV,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,133674,1925.2
NSE,06/06/2025,BAJAJFINSV,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,2178856,1925.2
NSE,06/06/2025,BAJAJFINSV,NOMURA SINGAPORE LIMITED,BUY,53471,1925.2
NSE,06/06/2025,BAJAJFINSV,NTCC COLL FUNDS FOR EMPLOYEE BENEFIT TRUST -NTCC EMERGING MARKETS FUND FEBT,BUY,2043,1925.2
NSE,06/06/2025,BAJAJFINSV,OP-INDIA FUND,BUY,40333,1925.2
