Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date,BC End Date,ND Start Date,ND End Date,Actual Payment Date
500040,ABREL,Aditya Birla Real Estate Ltd,15 Jul 2025,Final Dividend - Rs. - 2.0000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
506260,ANUHPHR,Anuh Pharma Ltd,15 Jul 2025,Bonus issue 1:1,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
543232,CAMS,Computer Age Management Services Ltd,15 Jul 2025,Final Dividend - Rs. - 19.0000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
542543,ENERGYINF,Energy Infrastructure Trust,15 Jul 2025,Income Distribution (InvIT) ,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
506076,GRINDWELL,Grindwell Norton Ltd,15 Jul 2025,Final Dividend - Rs. - 17.0000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
500116,IDBI,IDBI Bank Ltd,15 Jul 2025,Final Dividend - Rs. - 2.1000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
524500,KILITCH,Kilitch Drugs India Ltd,15 Jul 2025,Right Issue of Equity Shares ,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
505283,KIRLPNU,Kirloskar Pneumatic Company Ltd,15 Jul 2025,Final Dividend - Rs. - 6.5000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
526209,KSOILS,K S Oils Ltd,15 Jul 2025,Resolution Plan -Suspension ,15 Jul 2025,-,,-,-,-
532720,M&MFIN,Mahindra & Mahindra Financial Services Ltd,15 Jul 2025,Final Dividend - Rs. - 6.5000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
515043,SEKURITIND,Saint Gobain Sekurit India Ltd,15 Jul 2025,Final Dividend - Rs. - 2.0000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
524129,VINYLINDIA,Vinyl Chemicals (India) Ltd,15 Jul 2025,Final Dividend - Rs. - 7.0000,15 Jul 2025,-,,15 Jul 2025,15 Jul 2025,-
