SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
20MICRONS,61422.5,28189,-54.11
3PLAND,4805.9,2350,-51.1
AAATECH,8875.2,3072,-65.39
AARON,4854.6,19973,311.42
AARTECH,160598.5,54188,-66.26
AARTIDRUGS,153981.7,36861,-76.06
AARVI,4649.8,9855,111.94
ABB,125259.8,284348,127.01
ABBOTINDIA,3925.9,1123,-71.4
ABCAPITAL,2025999.2,840954,-58.49
ABDL,189996.5,737856,288.35
ABFRL,4876228.7,2332725,-52.16
ABSLPSE,226858.5,47282,-79.16
ACEINTEG,5036.9,2254,-55.25
ACI,79113.9,132158,67.05
ACL,10887.9,23175,112.85
ADANIENSOL,1403507.5,275434,-80.38
ADANIGREEN,379752.5,1690284,345.1
ADOR,16120.6,3345,-79.25
ADSL,54746.9,134812,146.25
ADVANIHOTR,25057.4,43314,72.86
AEROENTER,144515.9,250285,73.19
AEROFLEX,468569.7,714279,52.44
AETHER,89300.5,34118,-61.79
AFFLE,151228.3,63725,-57.86
AFIL,889491.8,384772,-56.74
AGARIND,11027.9,5484,-50.27
AGIIL,86390.2,29854,-65.44
AGRITECH,3843.0,10876,183.01
AHLADA,11253.9,2538,-77.45
AHLUCONT,23689.6,75054,216.82
AIAENG,38172.5,7331,-80.8
AIIL,75007.0,37264,-50.32
AIRAN,116777.1,54257,-53.54
AIROLAM,7834.5,2521,-67.82
AJANTPHARM,132000.1,375242,184.27
AJMERA,16809.8,26383,56.95
AKG,584942.3,62327,-89.34
AKSHARCHEM,13826.3,6903,-50.07
AKZOINDIA,239156.3,22690,-90.51
ALIVUS,37435.2,122705,227.78
ALKEM,81460.6,36680,-54.97
ALPA,23629.3,10151,-57.04
AMBICAAGAR,13156.0,2139,-83.74
AMBIKCO,4091.0,7242,77.02
AMRUTANJAN,18918.0,3247,-82.84
ANANDRATHI,74625.8,458517,514.42
ANANTRAJ,550569.0,939820,70.7
ANDHRAPAP,124598.8,34144,-72.6
ANMOL,38815.0,7012,-81.93
ANUHPHR,42226.3,153518,263.56
APARINDS,34708.5,12608,-63.67
APCOTEXIND,13662.5,29709,117.45
APEX,40494.9,7986,-80.28
APOLSINHOT,2322.6,7439,220.29
ARCHIDPLY,12852.3,5317,-58.63
ARE&M,349614.4,145959,-58.25
ARIES,55523.2,15637,-71.84
ARIHANTSUP,26937.0,416405,1445.85
ARMANFIN,11488.4,17298,50.57
ARVEE,3602.7,832,-76.91
ARVIND,156157.7,64199,-58.89
ASAHIINDIA,261473.2,116769,-55.34
ASHIANA,22384.2,40188,79.54
ASHOKAMET,25629.0,7551,-70.54
ASHOKLEY,2509995.8,4851976,93.31
ASPINWALL,2685.5,1220,-54.57
ASTERDM,809190.4,362461,-55.21
ASTRAZEN,11824.6,3510,-70.32
ATHERENERG,365716.8,707205,93.38
AURIONPRO,76085.8,37805,-50.31
AUTOIETF,1065001.7,244096,-77.08
AVALON,98213.6,184691,88.05
AVL,129762.6,319437,146.17
AVTNPL,46383.4,265372,472.13
AWFIS,137495.1,36720,-73.29
AXISBNKETF,603.0,51568,8451.91
AXISCETF,2886.7,412,-85.73
AXISGOLD,588461.0,270592,-54.02
AXISNIFTY,3285.2,6109,85.96
AXISTECETF,1939.5,233642,11946.51
AXSENSEX,3597.6,12463,246.43
AYMSYNTEX,42344.5,11591,-72.63
BAFNAPH,9598.56,1957,-79.61
BAJAJCON,669769.7,295344,-55.9
BAJAJELEC,33769.7,7228,-78.6
BAJAJFINSV,643416.3,237415,-63.1
BAJAJHCARE,103955.4,197989,90.46
BAJAJHIND,5556520.8,2527334,-54.52
BALKRISHNA,24547.8,9473,-61.41
BALMLAWRIE,109637.7,53657,-51.06
BALPHARMA,9771.8,3213,-67.12
BANARBEADS,4598.9,1415,-69.23
BANDHANBNK,3082585.5,862469,-72.02
BANG,17775.4,8771,-50.66
BANKBEES,248275.2,123970,-50.07
BANKBETF,21459.1,3212,-85.03
BANKETF,2348.7,706,-69.94
BANKETFADD,473156.9,2571,-99.46
BANKIETF,882937.4,2385799,170.21
BANKNIFTY1,199175.2,91098,-54.26
BANKPSU,18187.3,932,-94.88
BANSALWIRE,84106.8,179429,113.33
BANSWRAS,58631.5,7745,-86.79
BASML,111607.8,55610,-50.17
BATAINDIA,64528.8,177079,174.42
BAYERCROP,42363.8,18123,-57.22
BBNPNBETF,972.7,42,-95.68
BBTC,18663.8,8660,-53.6
BBTCL,3865.0,19696,409.6
BCONCEPTS,5521.0,2167,-60.75
BEARDSELL,84299.4,17412,-79.35
BECTORFOOD,90506.1,29771,-67.11
BEDMUTHA,3820.6,130240,3308.89
BESTAGRO,35826.7,17269,-51.8
BFINVEST,24457.4,9656,-60.52
BHAGCHEM,33582.2,12333,-63.28
BHAGERIA,44563.9,15482,-65.26
BHAGYANGR,37667.4,80986,115.0
BHARATGEAR,8239.8,3307,-59.87
BHEL,2540005.9,948889,-62.64
BIKAJI,107367.9,26762,-75.07
BIL,17888.2,6258,-65.02
BIOCON,2071321.7,3117859,50.53
BIRLAMONEY,64060.1,139664,118.02
BIRLANU,3803.0,7987,110.02
BLACKBUCK,319253.4,122748,-61.55
BLS,870079.1,300579,-65.45
BLUEJET,162097.1,277932,71.46
BODALCHEM,255559.2,75763,-70.35
BORORENEW,325011.1,157323,-51.59
BOROSCI,41323.7,76045,84.02
BPL,28529.5,61384,115.16
BSE500IETF,219727.1,45254,-79.4
BSLNIFTY,544820.7,154033,-71.73
BTML,353568.5,98960,-72.01
CANFINHOME,182824.9,49529,-72.91
CARBORUNIV,91748.4,34219,-62.7
CARTRADE,226090.4,475131,110.15
CARYSIL,47793.3,21051,-55.95
CASHIETF,246030.9,382213,55.35
CASTROLIND,1230232.6,4844882,293.82
CEATLTD,59064.3,99655,68.72
CELEBRITY,78582.7,389949,396.23
CENTENKA,7799.7,3295,-57.75
CENTUM,9085.9,3338,-63.26
CGCL,2283749.3,1127085,-50.65
CHALET,112028.6,29881,-73.33
CHEMFAB,3575.4,7534,110.72
CHENNPETRO,1002724.0,261401,-73.93
