SYMBOL,AVG_TTL_TRD_QNTY,AVG_DELIV_QTY
20MICRONS,128799.6,61422.5
21STCENMGM,10432.9,8986.2
360ONE,1091600.5,660557.3
3IINFOLTD,438883.9,233416.3
3MINDIA,4678.3,2541.8
3PLAND,7473.6,4805.9
5PAISA,79211.8,18746.5
63MOONS,474551.5,184521.3
AAATECH,13779.2,8875.2
AADHARHFC,669832.6,419821.5
AARON,7590.5,4854.6
AARTECH,385572.8,160598.5
AARTIDRUGS,414255.3,153981.7
AARTIIND,874986.8,366592.5
AARTIPHARM,332442.5,164165.0
AARVI,8679.4,4649.8
AAVAS,411075.6,149880.0
ABAN,99290.6,55968.8
ABB,216260.4,125259.8
ABBOTINDIA,10910.5,3925.9
ABCAPITAL,4337877.1,2025999.2
ABDL,424507.3,189996.5
ABFRL,11680625.8,4876228.7
ABGSEC,1200.0,991.33
ABLBL,2295259.2,1321358.2
ABMINTLLTD,1347.5,1347.5
ABREL,105728.7,56554.2
ABSLAMC,520334.6,219919.5
ABSLBANETF,457343.8,444357.0
ABSLLIQUID,9125.9,6867.5
ABSLNN50ET,9629.1,6756.4
ABSLPSE,265428.3,226858.5
ACC,363089.4,180317.5
ACCELYA,7083.6,4069.1
ACCURACY,279461.5,222059.0
ACE,134095.2,62811.1
ACEINTEG,9319.4,5036.9
ACI,189711.8,79113.9
ACL,16941.8,10887.9
ACLGATI,272307.1,114340.0
ACMESOLAR,3475428.6,878346.2
ACUTAAS,356020.4,216342.8
ADANIENSOL,2640707.1,1403507.5
ADANIENT,478240.0,148021.7
ADANIGREEN,1428626.4,379752.5
ADANIPORTS,1098046.5,557617.0
ADANIPOWER,6116716.9,1754922.3
ADFFOODS,65277.0,28868.9
ADOR,35745.3,16120.6
ADROITINFO,49097.6,29964.4
ADSL,128799.8,54746.9
ADVANIHOTR,40127.2,25057.4
ADVENZYMES,282761.5,125961.9
AEGISLOG,603781.9,228016.5
AEGISVOPAK,1600288.3,981425.4
AEROENTER,310215.6,144515.9
AEROFLEX,2153123.9,468569.7
AETHER,151425.2,89300.5
AFCONS,777645.6,463858.3
AFFLE,321247.8,151228.3
AFFORDABLE,19768.1,10684.8
AFIL,1445085.3,889491.8
AFSL,47665.3,33241.8
AGARIND,18019.7,11027.9
AGARWALEYE,391865.2,250499.3
AGI,73974.8,39906.8
AGIIL,235226.4,86390.2
AGRITECH,7002.3,3843.0
AGROPHOS,40181.3,24677.9
AHLADA,17404.0,11253.9
AHLEAST,14517.9,10600.2
AHLUCONT,68941.6,23689.6
AIAENG,64161.9,38172.5
AIIL,203174.9,75007.0
AIRAN,258255.0,116777.1
AIROLAM,22006.8,7834.5
AJANTPHARM,189646.7,132000.1
AJAXENGG,230124.8,121249.5
AJMERA,37865.8,16809.8
AJOONI,339578.6,248815.6
AKASH,8323.3,4564.2
AKG,812235.3,584942.3
AKI,240973.67,200100.33
AKSHARCHEM,24160.1,13826.3
AKSHOPTFBR,273357.2,173448.7
AKUMS,313870.7,150863.5
AKZOINDIA,291208.2,239156.3
ALANKIT,1797396.8,663476.2
ALBERTDAVD,11383.9,6914.6
ALEMBICLTD,1072547.3,302905.1
ALICON,18036.4,7811.5
ALIVUS,81774.6,37435.2
ALKALI,9673.0,5479.5
ALKEM,133432.7,81460.6
ALKYLAMINE,173676.4,41313.8
ALLCARGO,1702345.7,795253.6
ALLDIGI,7176.5,3935.1
ALMONDZ,502217.6,227174.3
ALOKINDS,56742014.7,8093504.8
ALPA,35173.2,23629.3
ALPHA,1071255.3,748592.3
ALPHAETF,492642.0,337167.1
ALPHAGEO,8219.9,5028.0
ALPL30IETF,845715.9,643142.9
AMBER,495352.3,137953.7
AMBICAAGAR,41605.6,13156.0
AMBIKCO,9073.8,4091.0
AMBUJACEM,2493749.2,1307407.4
AMDIND,37409.8,17507.5
AMJLAND,68313.9,32120.5
AMNPLST,10803.3,5594.2
AMRUTANJAN,30471.3,18918.0
ANANDRATHI,274681.7,74625.8
ANANTRAJ,1553669.0,550569.0
ANDHRAPAP,295351.9,124598.8
ANDHRSUGAR,143960.1,63521.3
ANGELONE,1293163.1,316232.2
ANIKINDS,6803.4,4607.8
ANMOL,69821.1,38815.0
ANTGRAPHIC,394889.4,238031.4
ANUHPHR,70945.9,42226.3
ANUP,34287.9,15707.8
ANURAS,122380.9,55696.3
AONELIQUID,28776.6,24479.8
AONENIFTY,436757.2,379232.0
AONETOTAL,443527.8,271962.3
APARINDS,76858.3,34708.5
APCL,42928.0,11418.0
APCOTEXIND,23004.0,13662.5
APEX,93795.9,40494.9
APLAPOLLO,781126.3,505988.2
APLLTD,1754185.2,158710.5
APOLLO,3464223.7,1365531.4
APOLLOHOSP,654116.5,385353.1
APOLLOPIPE,101546.5,55296.5
APOLLOTYRE,1769144.6,731773.1
APOLSINHOT,4725.9,2322.6
APTUS,1797190.9,1125251.5
ARCHIDPLY,17894.1,12852.3
ARE&M,604643.6,349614.4
ARENTERP,19116.0,9696.12
ARIES,122486.9,55523.2
ARIHANTCAP,503808.7,255385.5
ARIHANTSUP,65287.6,26937.0
ARISINFRA,1111104.6,356114.8
ARKADE,2343822.8,700497.8
ARMANFIN,24555.8,11488.4
AROGRANITE,16535.1,9224.6
ARTEMISMED,82822.2,40263.0
ARVEE,9204.8,3602.7
ARVIND,333183.3,156157.7
ARVINDFASN,415515.9,277314.4
ARVSMART,40591.6,21730.4
ASAHIINDIA,2016398.7,261473.2
ASAL,199243.8,34808.6
ASALCBR,69993.3,28809.0
ASHAPURMIN,503722.5,208051.9
ASHIANA,37694.7,22384.2
ASHOKA,837473.6,364652.2
ASHOKAMET,48282.8,25629.0
ASHOKLEY,4206029.4,2509995.8
ASIANENE,58209.0,31104.7
ASIANPAINT,1242109.3,574686.0
ASKAUTOLTD,308044.5,135723.6
ASMS,397566.3,236767.1
ASPINWALL,3521.0,2685.5
ASTEC,53271.5,23860.7
ASTERDM,3545262.8,809190.4
ASTRAL,628655.1,357521.8
ASTRAMICRO,517137.0,236958.2
ASTRAZEN,41540.0,11824.6
ASTRON,18031.4,10354.4
ATAM,18203.6,10190.6
ATGL,661664.3,203302.9
ATHERENERG,696236.6,365716.8
ATL,234663.7,137075.1
ATLANTAA,28510.1,17642.8
ATUL,35540.5,17428.7
ATULAUTO,45851.7,20967.3
AUBANK,2078766.8,1243398.5
AURIONPRO,287848.7,76085.8
AUROPHARMA,1364686.6,516477.0
