Source,Headline,Link,Category,Time
Investing.com,"Euro-zone industrial production rises 1.7% in May, showing resilience",https://www.investing.com/news/economic-indicators/eurozone-industrial-production-rises-17-in-may-showing-resilience-93CH-4134929,Economy,2025-07-15 09:31:22
Financial Express,"AWL Agri Q1 Results: Profit slips 24.51%, revenue up on strong edible oil performance",https://www.financialexpress.com/business/industry-awl-agri-q1-results-profit-slips-24-51-revenue-up-on-strong-edible-oil-performance-3915051/,"Business, Industry",2025-07-15 14:47:45
Financial Express,Time’s running out! Eligibility for TCS dividend ends today: Here’s everything you need to know,https://www.financialexpress.com/market/times-running-out-eligibility-for-tcs-dividend-ends-today-heres-everything-you-need-to-know-3914969/,Markets,2025-07-15 14:17:24
Financial Express,ICICI Prudential Life Q1 Results: Profit rises by 34.02% to Rs 302.08 crore – Key details here,https://www.financialexpress.com/business/banking-finance-icici-prudential-life-q1-results-profit-rises-by-34-02-to-rs-30208-crore-key-details-here-3915012/,"Finance, Business",2025-07-15 14:17:24
Financial Express,"Over 400 dengue, chikungunya cases reported in Mumbai hospitals—Who’s most at risk? Doctor answers",https://www.financialexpress.com/business/healthcare-over-400-dengue-chikungunya-cases-reported-in-mumbai-hospitalswhos-most-at-risk-doctor-answers-3915007/,Business,2025-07-15 14:16:50
Financial Express,"Stocks making the biggest moves midday: Tejas Networks, Waaree Renewable, Ola Electric, BSE and more",https://www.financialexpress.com/market/stocks-making-the-biggest-moves-midday-tejas-networks-waaree-renewable-ola-electric-bse-and-more-3914999/,Markets,2025-07-15 14:14:38
Financial Express,Motilal Oswal initiates coverage on Laxmi Dental: 3 reasons powering the 26% upside prediction,https://www.financialexpress.com/market/motilal-oswal-initiates-coverage-on-laxmi-dental-3-reasons-powering-the-26-upside-prediction-3914967/,Markets,2025-07-15 13:58:17
Financial Express,"SMFG targets bigger role in Yes Bank: Considers fresh $1.1 bn boost via stake buy, convertible bonds, says Report",https://www.financialexpress.com/business/banking-finance-smfg-targets-bigger-role-in-yes-bank-considers-fresh-1-1-bn-boost-via-stake-buy-convertible-bonds-says-report-3914961/,"Finance, Business",2025-07-15 13:39:19
Financial Express,Green card hope for EB-5 investors as US visa bulletin shows significant movement,https://www.financialexpress.com/business/investing-abroad-us-visa-bulletin-shows-advancement-for-eb-5-applicants-seeking-green-card-3914955/,Business,2025-07-15 13:32:59
Financial Express,"Air tragedies rose 14% in India with 320 casualties, reveals RTI; aviation security body battles 38% staff shortage",https://www.financialexpress.com/business/airlines-aviation-air-tragedies-rose-14-in-india-with-320-casualties-reveals-rti-aviation-security-body-battles-38-staff-shortage-3914905/,Business,2025-07-15 12:59:07
Financial Express,"Sun Pharma launches key alopecia drug in US, experts estimate $200–300 million market potential",https://www.financialexpress.com/business/industry-sun-pharma-launches-key-alopecia-drug-in-us-experts-estimate-200300-million-market-potential-3914871/,"Business, Industry",2025-07-15 14:30:08
Financial Express,Hemant Rupani appointed CEO of Hindustan Coca-Cola Beverages,https://www.financialexpress.com/business/brandwagon-hemant-rupani-appointed-ceo-of-hindustan-coca-cola-beverages-3914908/,Business,2025-07-15 12:50:32
Financial Express,Motilal Oswal initiates coverage on Laxmi Dental: 3 reasons powering the 26% upside prediction,https://www.financialexpress.com/market/motilal-oswal-initiates-coverage-on-laxmi-dental-3-reasons-powering-the-26-upside-prediction-3914967/,Markets,2025-07-15 14:01:32
Financial Express,Could you have liver cirrhosis and not know it? Expert shares silent signs,https://www.financialexpress.com/business/healthcare-could-you-have-liver-cirrhosis-and-not-know-it-expert-shares-silent-signs-3914841/,Business,2025-07-15 12:21:54
Financial Express,"SRK, Rahman, Bumrah, Mary Kom front Zomato’s new campaign celebrating effort",https://www.financialexpress.com/business/brandwagon-srk-rahman-bumrah-mary-kom-front-zomatos-new-campaign-celebrating-effort-3914832/,Business,2025-07-15 12:15:27
Financial Express,Toll collection suspended on 28 km stretch of Amritsar-Jamnagar Expressway from today,https://www.financialexpress.com/business/roadways-toll-collection-suspended-on-28-km-stretch-of-amritsar-jamnagar-expressway-from-todaynbsp-3914795/,Business,2025-07-15 11:56:11
Financial Express,Short-seller Viceroy slams Vedanta AGM: Calls ‘Annual General Mockery of stakeholders’ as ‘stage-managed’ event,https://www.financialexpress.com/business/industry-short-seller-viceroy-slams-vedanta-agm-calls-annual-general-mockery-of-stakeholders-as-stage-managed-eventnbsp-3914806/,"Business, Industry",2025-07-15 11:56:08
Financial Express,TCS announces 100% variable pay for majority of employees for Q1FY26: Report,https://www.financialexpress.com/business/industry-tcs-announces-100-variable-pay-for-majority-of-employees-for-q1fy26-report-3914789/,"Business, Industry",2025-07-15 11:47:08
Financial Express,JM Financial initiates coverage on Kalyan Jewellers: 3 reasons powering the 20% upside prediction,https://www.financialexpress.com/market/jm-financial-initiates-coverage-on-kalyan-jewellers-3-reasons-powering-the-20-upside-prediction-3914749/,Markets,2025-07-15 11:38:05
Financial Express,US visa bulletin for August shows progress for EB-5 applicants and Indian skilled workers,https://www.financialexpress.com/business/investing-abroad-us-visa-bulletin-for-august-released-check-status-for-eb-5-applicants-and-indian-skilled-workers-3914733/,Business,2025-07-15 11:27:58
Financial Express,India accelerates defence indigenisation: HAL places Rs 600 crore superalloy order with MIDHANI,https://www.financialexpress.com/business/industry-india-accelerates-defence-indigenisation-hal-places-rs-600-crore-superalloy-order-with-midhaninbsp-3914731/,"Business, Industry",2025-07-15 11:24:05
Financial Express,"Inside India’s big fake wedding boom: Rs 1,499 for a function with no strings attached",https://www.financialexpress.com/business/brandwagon-inside-indias-big-fake-wedding-boom-rs-1499-for-a-function-with-no-strings-attached-3914729/,Business,2025-07-15 11:23:40
Financial Express,US visa bulletin for August shows progress for EB-5 applicants and Indian skilled workers,https://www.financialexpress.com/business/investing-abroad-us-visa-bulletin-for-august-released-check-status-for-eb-5-applicants-and-indian-skilled-workers-3914733/,Business,2025-07-15 11:27:58
Financial Express,India accelerates defence indigenisation: HAL places Rs 600 crore superalloy order with MIDHANI,https://www.financialexpress.com/business/industry-india-accelerates-defence-indigenisation-hal-places-rs-600-crore-superalloy-order-with-midhaninbsp-3914731/,"Business, Industry",2025-07-15 11:24:05
Financial Express,"Inside India’s big fake wedding boom: Rs 1,499 for a function with no strings attached",https://www.financialexpress.com/business/brandwagon-inside-indias-big-fake-wedding-boom-rs-1499-for-a-function-with-no-strings-attached-3914729/,Business,2025-07-15 11:23:40
Financial Express,Oberoi Realty consortium gets Letter of Intent for Hotel Horizon with Rs 919 crore resolution plan,https://www.financialexpress.com/business/industry-oberoi-realty-consortium-gets-letter-of-intent-for-hotel-horizon-with-rs-919-crore-resolution-plan-3914662/,"Business, Industry",2025-07-15 10:40:32
Financial Express,JioBlackRock may challenge India’s top discount brokers,https://www.financialexpress.com/market/jioblackrock-may-challenge-indias-top-discount-brokers-3914658/,"Finance, Business, Markets",2025-07-15 10:42:56
Financial Express,HCLTech slides 4% after disappointing FY26 guidance but brokerages sees 23% upside. Here’s why,https://www.financialexpress.com/market/hcltech-slides-4-after-disappointing-fy26-guidance-but-brokerages-sees-23-upside-heres-why-3914654/,Markets,2025-07-15 10:37:49
Financial Express,"ChrysCapital bites into Theobroma with Rs 2,410cr majority stake",https://www.financialexpress.com/business/brandwagon-chryscapital-bites-into-theobroma-with-rs-2410cr-majority-stake-3914645/,Business,2025-07-15 12:59:43
Financial Express,Reliance gets trademark win: Delhi HC bars fake products listed on e-commerce platforms,https://www.financialexpress.com/business/brandwagon-reliance-gets-trademark-win-delhi-hc-bars-fake-products-listed-on-e-commerce-platforms-3914627/,Business,2025-07-15 10:04:43
Financial Express,"SRK, Rahman, Bumrah, Mary Kom front Zomato’s new campaign celebrating effort",https://www.financialexpress.com/business/brandwagon-srk-rahman-bumrah-mary-kom-front-zomatos-new-campaign-celebrating-effort-3914832/,Business,2025-07-15 12:15:27
Financial Express,"From HCL Tech, Tata Tech, Ola Electric to RVNL – Here are 10 stocks to watch",https://www.financialexpress.com/market/stocks-to-watch-hcl-technologies-tata-technologies-ola-electric-vip-industries-welspun-living-amber-enterprises-oberoi-realty-rvnl-hdfc-bank-railtel-corp-3914423/,Markets,2025-07-15 06:40:29
Financial Express,Is HUL’s big comeback here? 3 reasons Motilal Oswal expects a 19% rally under new CEO Priya Nair,https://www.financialexpress.com/market/is-huls-big-comeback-here-3-reasons-motilal-oswal-expects-a-19-rally-under-new-ceo-priya-nair-3914333/,Markets,2025-07-15 05:30:00
Financial Express,"Two defence stocks, one surprise: Why Motilal Oswal says ‘Buy’ Bharat Electronics but stays ‘Neutral’ on Bharat Dynamics",https://www.financialexpress.com/market/two-defence-stocks-one-surprise-why-motilal-oswal-says-buy-bharat-electronics-but-stays-neutral-on-bharat-dynamics-3914140/,Markets,2025-07-15 05:30:00
Financial Express,"Wall Street ends with modest gains as investors await earnings, economic data",https://www.financialexpress.com/market/wall-street-ends-with-modest-gains-as-investors-await-earnings-economic-data-3914388/,Markets,2025-07-15 05:23:52
Financial Express,Energy majors scurry for civil nuclear sector play,https://www.financialexpress.com/business/industry-energy-majors-scurry-for-civil-nuclear-sector-play-3914355/,"Business, Industry",2025-07-15 05:10:15
Financial Express,RBI to hold 3-day VRRR for Rs 1 lakh crore today,https://www.financialexpress.com/business/banking-finance-rbi-to-hold-3-day-vrrr-for-rs-1-lakh-crore-today-3914353/,"Finance, Business",2025-07-15 05:08:08
Financial Express,"Jane Street seeks to resume trade, sets aside Rs 4,843.5 crore",https://www.financialexpress.com/market/jane-street-seeks-to-resume-trade-sets-aside-rs-4843-5-crore-3914343/,Markets,2025-07-14 23:49:04
Financial Express,Japanese E10 bullet trains to run on Mumbai-Ahmedabad route,https://www.financialexpress.com/business/railways-japanese-e10-bullet-trains-to-run-on-mumbai-ahmedabad-route-3914295/,Business,2025-07-14 23:14:15
Financial Express,"India, New Zealand start second round of FTA talks",https://www.financialexpress.com/policy/economy-india-new-zealand-start-second-round-of-fta-talks-3914291/,Economy,2025-07-14 22:59:28
Financial Express,"‘Being forced to return to India’, H-1B techie says he’s worried how his children will cope with change in culture",https://www.financialexpress.com/business/investing-abroad-being-forced-to-return-to-india-h-1b-techie-says-hes-worried-how-his-children-will-cope-with-change-in-culture-3914306/,Business,2025-07-14 22:54:15
Financial Express,Tata Technologies’ profit drops 10% in June quarter to Rs 170 crore,https://www.financialexpress.com/business/industry-tata-technologies-profit-drops-10-in-june-quarter-to-rs-170-crore-3914240/,"Business, Industry",2025-07-14 22:53:24
Financial Express,Maharashtra to shut 90% of Ola electric showrooms in state: Report,https://www.financialexpress.com/india-news/maharashtra-to-shut-90-of-ola-electric-showrooms-in-state-report/3914316/,Industry,2025-07-14 22:49:39
Financial Express,"HCLTech Q1 profit drops 11% to Rs 3,843 crore",https://www.financialexpress.com/business/industry-hcltech-q1-profit-drops-11-to-rs-3843-crore-3914223/,"Business, Industry",2025-07-14 22:27:55
Financial Express,"Welspun Group subsidiary Christy targets 30% growth in FY26, India expansion plans delayed",https://www.financialexpress.com/business/industry-welspun-group-subsidiary-christy-targets-30-growth-in-fy26-india-expansion-plans-delayed-3913951/,"Business, Industry",2025-07-14 22:19:19
Financial Express,NSE electricity futures charged up on debut,https://www.financialexpress.com/market/nse-electricity-futures-charged-up-on-debut-3914203/,Markets,2025-07-14 22:18:07
Financial Express,"Ola Electric delays cell plant expansion, scales down capacity target to 5 GWh",https://www.financialexpress.com/business/industry-ola-electric-delays-cell-plant-expansion-scales-down-capacity-target-to-5-gwh-3914207/,"Business, Industry",2025-07-14 22:00:11
Financial Express,HCLTech headcount dips in Q1,https://www.financialexpress.com/business/industry-hcltech-headcount-dips-in-q1-3914197/,"Business, Industry",2025-07-14 21:50:02
Financial Express,Banks’ average cash position with SDF falls,https://www.financialexpress.com/business/banking-finance-banks-average-cash-position-with-sdf-falls-3914186/,"Finance, Business",2025-07-14 21:48:28
Financial Express,Wipro Consumer Care CEO Vineet Agrawal to retire in Jan 2026,https://www.financialexpress.com/business/industry-wipro-consumer-care-ceo-vineet-agrawal-to-retire-in-jan-2026-3914228/,"Business, Industry",2025-07-14 21:39:47
Financial Express,"Crash report raises more questions, no mechanical faults flagged: AI CEO",https://www.financialexpress.com/business/airlines-aviation-crash-report-raises-more-questions-no-mechanical-faults-flagged-ai-ceo-3914180/,Business,2025-07-14 21:24:31
Financial Express,"Kharif area up 6%; sowing of paddy, pulses, coarse cereals brisk",https://www.financialexpress.com/policy/economy-kharif-area-up-6-sowing-of-paddy-pulses-coarse-cereals-brisk-3914174/,Economy,2025-07-14 21:15:53
Financial Express,Tariff tweaks: India to gain in over half of exports to US,https://www.financialexpress.com/policy/economy-tariff-tweaks-india-to-gain-in-over-half-of-exports-to-us-3914163/,Economy,2025-07-14 21:06:02
Financial Express,Vedanta’s debt model in line with peers: InGovern,https://www.financialexpress.com/business/industry-vedantas-debt-model-in-line-with-peers-ingovern-3914150/,"Business, Industry",2025-07-14 20:57:51
Financial Express,Food inflation plunges to 76-month low,https://www.financialexpress.com/policy/economy-food-inflation-plunges-to-76-month-low-3914146/,Economy,2025-07-14 20:28:30
Financial Express,DGCA makes fuel control switch checks mandatory after Air India crash,https://www.financialexpress.com/business/airlines-aviation-dgca-makes-fuel-control-switch-checks-mandatory-after-air-india-crash-3914133/,Business,2025-07-14 20:27:46
Financial Express,"‘I want to retire by 2047,’ NRI turns to Internet for suggestions on investment plan",https://www.financialexpress.com/business/investing-abroad-i-want-to-retire-by-2047-nri-turns-to-internet-for-suggestions-on-investment-plan-3913953/,Business,2025-07-14 20:16:23
Financial Express,"‘Everyone in my queue got rejected,’ Indian’s B1/B2 visa denied despite clean record",https://www.financialexpress.com/business/investing-abroad-everyone-in-my-queue-got-rejected-indians-b1b2-visa-denied-despite-clean-record-3914135/,Business,2025-07-14 20:13:26
Financial Express,Retail inflation falls to over 6-year low,https://www.financialexpress.com/policy/economy-retail-inflation-falls-to-over-6-year-low-of-2-1-3914131/,Economy,2025-07-15 00:06:22
Financial Express,EXPLAINER | How UAE is attracting the wealthy with its Golden visa,https://www.financialexpress.com/business/investing-abroad-explainer-how-uae-is-attracting-the-wealthy-with-its-golden-visa-3914102/,Business,2025-07-14 19:58:09
Financial Express,‘Warren Buffet is out of stocks and…’: Rich Dad Poor Dad author Robert Kiyosaki warns ‘millions about to become poorer’ as Bitcoin sets new record,https://www.financialexpress.com/trending/remember-warren-buffet-is-out-of-stocks-and-rich-dad-poor-dad-author-robert-kiyosaki-warns-millions-are-about-to-become-poorer-as-bitcoin-sets-new-record/3914011/,Markets,2025-07-14 19:43:05
Financial Express,"India, US eye interim understanding on trade deal",https://www.financialexpress.com/policy/economy-india-us-eye-interim-understanding-on-trade-deal-3913984/,Economy,2025-07-14 19:29:49
Financial Express,US markets opens flat amid Trump’s new tariff threat against Mexico and EU,https://www.financialexpress.com/business/investing-abroad-us-markets-opens-flat-amid-trumps-new-tariff-threat-against-mexico-and-eu-3914027/,Business,2025-07-14 19:44:26
Financial Express,"VIP Ind promoters cut stake at discount in deal valued at Rs 1,763 crore",https://www.financialexpress.com/business/industry-vip-ind-promoters-cut-stake-at-discount-in-deal-valued-at-rs-1763-crore-3914018/,"Business, Industry",2025-07-14 19:28:32
Financial Express,Reliance Industries to announce Q1FY26 results on July 18: Check details of when and where to watch results Live,https://www.financialexpress.com/business/industry-reliance-industries-to-announce-q1fy26-results-on-july-18-check-details-of-when-and-where-to-watch-results-live-3914079/,"Business, Industry",2025-07-14 19:27:59
